run_id,model,variant,seed,n_train,train_loss,accuracy,avg_output_tokens,latency_s_per_item,wall_min,truncated_frac,max_tokens_seen,eval_max_new
Qwen3-0.6B|AO|3407,unsloth/Qwen3-0.6B,AO,3407,1455,0.3867655464144416,0.1233333333333333,5.4,0.049289174079895,14.062477664152782,,,512
Qwen3-0.6B|G1|3407,unsloth/Qwen3-0.6B,G1,3407,1455,0.1694146381629692,0.43,42.586666666666666,0.5379880301157633,16.58504742383957,,,512
Qwen3-0.6B|G1|42,unsloth/Qwen3-0.6B,G1,42,1455,0.1692088270362043,0.4433333333333333,42.27,0.4625499288241068,16.02361952463786,,,512
Qwen3-0.6B|G2|3407,unsloth/Qwen3-0.6B,G2,3407,1455,0.3257014934833233,0.56,97.17333333333332,1.1066323161125182,19.2175738533338,,,512
Qwen3-0.6B|G2|42,unsloth/Qwen3-0.6B,G2,42,1455,0.3240920038886996,0.5733333333333334,96.82666666666668,1.005003887017568,18.748546159267427,,,512
Qwen3-0.6B|G3|3407,unsloth/Qwen3-0.6B,G3,3407,1455,0.4714564753102732,0.5733333333333334,376.04,6.644751222133636,27.967129417260487,0.02,1024.0,1024
Qwen3-0.6B|G3|42,unsloth/Qwen3-0.6B,G3,42,1455,0.4709550557119069,0.6133333333333333,373.35,6.1126770822207135,27.898181760311125,0.0066666666666666,1024.0,1024
Qwen3-1.7B|AO|3407,unsloth/Qwen3-1.7B,AO,3407,1455,0.4481556913354894,0.2,5.42,0.0795680578549703,14.459569974740344,,,512
Qwen3-1.7B|G1|3407,unsloth/Qwen3-1.7B,G1,3407,1455,0.1655763309080522,0.5933333333333334,39.98333333333333,0.5984120543797811,17.025554502010344,,,512
Qwen3-1.7B|G1|42,unsloth/Qwen3-1.7B,G1,42,1455,0.1651035612756079,0.58,40.55,0.5956930716832479,16.976254725456236,,,512
Qwen3-1.7B|G2|3407,unsloth/Qwen3-1.7B,G2,3407,1455,0.2871798167735229,0.73,95.54,1.2753892795244852,20.63318804899852,,,512
Qwen3-1.7B|G2|42,unsloth/Qwen3-1.7B,G2,42,1455,0.2872726838667314,0.7466666666666667,97.18333333333334,1.6636072158813475,22.570772902170816,,,512
Qwen3-1.7B|G3|3407,unsloth/Qwen3-1.7B,G3,3407,1455,0.4093426976885114,0.7666666666666667,363.85333333333335,6.81383627653122,47.47711578607559,0.0033333333333333,1024.0,1024
Qwen3-1.7B|G3|42,unsloth/Qwen3-1.7B,G3,42,1455,0.407471565973191,0.8066666666666666,364.51666666666665,7.003770594596863,47.61910800139109,0.0066666666666666,1024.0,1024
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,0,,0.3533333333333333,87.43666666666667,1.120311645666758,,,,512
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,0,,0.7266666666666667,115.89666666666666,1.77858602364858,,,,512
